variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
F_PARTYLN_FINAL,float64,10454,3886,6568,62.83,3,,,,,,,,,,,,,,,,
F_PARTYSUM_FINAL,int64,10454,10454,0,0.0,3,,,,,,,,,,,,,,,,
F_PARTYSUMIDEO_FINAL,int64,10454,10454,0,0.0,5,,,,,,,,,,,,,,,,
F_REG,int64,10454,10454,0,0.0,3,,,,,,,,,,,,,,,,
F_INC_SDT1,int64,10454,10454,0,0.0,10,PROFILE,,,Banner candidate,All respondents,,No,,EXCLUDE,More detailed income measure; F_INC_TIER2 selected for primary banner,,,,,,
F_IDEO,int64,10454,10454,0,0.0,6,,,,,,,,,,,,,,,,
F_INTFREQ,float64,10454,10287,167,1.6,6,,,,,,,,,,,,,,,,
F_VOLSUM,int64,10454,10454,0,0.0,3,,,,,,,,,,,,,,,,
F_INC_TIER2,int64,10454,10454,0,0.0,4,PROFILE,All,Household income tier,Banner,All respondents,No,Yes,Aggregated income measure preferred for stable cross-tab bases,INCLUDE,,,,,,,
WEIGHT_W144,float64,10454,10454,0,0.0,9441,,,,,,,,,,,,,,,,
WEIGHT_W144_FB,float64,10454,7157,3297,31.54,6632,,,,,,,,,,,,,,,,
WEIGHT_W144_IG,float64,10454,4515,5939,56.81,4231,,,,,,,,,,,,,,,,
WEIGHT_W144_XT,float64,10454,2565,7889,75.46,2413,,,,,,,,,,,,,,,,
WEIGHT_W144_TT,float64,10454,2562,7892,75.49,2434,,,,,,,,,,,,,,,,
