table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T22,TikTok,Education,College graduate+,1066,571.6005101851023,1.864938853281981
T22,TikTok,Education,Some College,861,384.39962920498164,2.2398564790000632
T22,TikTok,Education,H.S. graduate or less,619,297.645076952461,2.0796581160953145
T22,TikTok,Region,Northeast,387,179.4679894589428,2.156373407685244
T22,TikTok,Region,Midwest,481,189.95604489176392,2.5321647451339153
T22,TikTok,Region,South,1220,503.36306536032913,2.423697891156696
T22,TikTok,Region,West,464,209.10032934753107,2.2190304599129442
T22,TikTok,Income,Lower income,832,362.4217756101739,2.2956677992078247
T22,TikTok,Income,Middle income,1149,523.5686918324604,2.194554445145614
T22,TikTok,Income,Upper income,461,251.4154285785876,1.8336185754642353
T23,TikTok,Total,Total,2556,1078.7317131756329,2.369449204821743
T23,TikTok,Age,18-29,420,243.95653692388137,1.7216181427064905
T23,TikTok,Age,30-49,1192,478.9915284952272,2.4885617575423935
T23,TikTok,Age,50-64,670,382.69980732409164,1.7507194599463345
T23,TikTok,Age,65+,266,143.16315760156112,1.858019929542958
T23,TikTok,Gender,A man,788,318.3574854147134,2.4752048753416287
T23,TikTok,Gender,A woman,1732,766.4235381362618,2.2598470869145846
T23,TikTok,Gender,In some other way,32,17.21921311268522,1.8583892185192785
T23,TikTok,Education,College graduate+,1066,571.8542800347602,1.8641112556422645
T23,TikTok,Education,Some College,864,386.1315267228956,2.237579529785567
